dataset,branch_length,pi.a,pi.c,pi.g,pi.t,sigma.ac,sigma.ag,sigma.at,sigma.cg,sigma.ct,sigma.gt,omega,rho.phase0,rho.phase1,rho.phase2,avg_gap_length
ATGC001,0.876327457104034,0.230826730682781,0.249278868287862,0.288139825762428,0.231754575266929,1.20017958515461,1.94277751604033,0.9268539838968,0.945571437352844,2.25495635577038,0.807969598775783,0.0548368446138608,9.87065443881744e-4,6.016315806984725e-4,8.664489957360161e-4,13.0851015817711
ATGC013,0.963012792192653,0.29938306534273,0.196654298215023,0.223294406117257,0.28066823032499,1.18687431650753,1.92472674252179,0.912981338863227,1.43073003934798,1.91032826991232,0.90108701726168,0.073810473468892,0.0021630401343828358,0.0011945943738179727,0.0015966073158766186,14.2812523789105
ATGC015,1.26334525972645,0.294112780563415,0.208102533590991,0.249892441388443,0.247892244457151,1.42368857890177,1.91259611490743,0.801018746326916,1.20019823414882,1.79168547656102,0.953247297696338,0.0686641497823469,0.0011303946871515853,7.016728563523837e-4,9.094683028531388e-4,13.7301333185188
ATGC016,0.647308941373897,0.243271987205191,0.238007478604068,0.293406312487165,0.225314221703576,0.855999640915439,2.42742348246272,0.354548240527239,0.823067026911893,2.8702862574587,0.700959185465072,0.0877101046860248,9.619823780529376e-4,5.908576792361742e-4,8.178127445294546e-4,11.4211429248952
ATGC021,0.969643041744117,0.299581792624073,0.181905720909792,0.207603608682971,0.310908877783164,1.13592893492111,2.79270629692253,0.461159672266998,0.738495406534946,2.26763445182423,1.01192587805631,0.0762030670850223,7.32180709379498e-4,4.873886811466739e-4,5.329177617877425e-4,12.1928216728055
ATGC022,0.866491250031957,0.312075313653745,0.178142605175165,0.197618586059551,0.312163495111539,1.21337616049058,2.62337459064758,0.501452067990015,0.964229448587881,2.33590461869197,0.941179802574237,0.0858808840597979,7.157368889663884e-4,5.132346081297133e-4,5.563951212723436e-4,12.2697856071709
ATGC028,0.675463528594753,0.151975970782907,0.349136023611775,0.350115394803554,0.148772610801764,1.0654387296809,2.01858985007936,1.40935191912956,1.55543671937489,1.48760102586832,0.706363309689754,0.089939515886457,0.003166463045753323,0.002123029686869327,0.0026654672269781784,13.722158718816999
ATGC044,0.409319948373054,0.375548973059657,0.123282315180164,0.174510278476759,0.326658433283419,2.04266214815496,2.54041289092174,0.230845530708964,1.00425085503096,2.71088681191475,1.40058744044165,0.139254734648725,0.001602195581514854,0.0010922474260300756,0.0012111362457086282,10.2947627065148
ATGC045,1.34292332373049,0.384855935326749,0.110195690988031,0.170674137090116,0.334274236595105,1.53137187345397,3.24537778459754,0.427993512621255,1.55522684829997,2.6639754162398,0.691360686323462,0.0977388969054615,0.0011987373619679012,8.510537602926828e-4,9.491277281892689e-4,11.4658813037693
ATGC050,0.676206155053221,0.328021300115569,0.159346582108227,0.212532338645717,0.300099779130487,1.14549038415874,2.66203836005655,0.405761410277275,1.02770051853371,2.78436535024113,0.73135845056231,0.11368688429283,0.0015330256374501902,0.001066567829283827,0.0012419692578688303,10.7121638507725
